Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,1,female,1.143,1.826,0.615,1.585,2.201,2.200,0.997,1.346,1.135,1.924
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,1,male,1.090,1.714,0.551,1.542,2.093,2.092,0.972,1.301,1.067,1.920
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,2,female,1.141,1.800,0.603,1.574,2.177,2.176,0.993,1.344,1.110,1.907
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,2,male,1.108,1.832,0.623,1.571,2.193,2.193,0.950,1.299,1.093,1.978
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,3,female,1.185,1.878,0.615,1.625,2.240,2.239,1.006,1.362,1.156,1.889
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,3,male,1.091,1.721,0.581,1.465,2.046,2.045,0.941,1.268,1.058,1.874
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,1,female,1.218,1.871,0.601,1.579,2.181,2.180,0.974,1.318,1.147,1.790
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,1,male,1.159,1.780,0.586,1.563,2.149,2.147,0.969,1.304,1.097,1.853
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,2,female,1.149,1.922,0.595,1.683,2.277,2.276,0.996,1.344,1.172,1.981
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,2,male,1.140,1.720,0.565,1.511,2.076,2.075,0.940,1.275,1.031,1.821
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,3,female,1.186,1.860,0.624,1.594,2.217,2.217,1.000,1.351,1.140,1.869
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,3,male,1.110,1.685,0.597,1.452,2.050,2.048,0.930,1.214,1.069,1.846
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,1,female,1.237,1.962,0.678,1.630,2.308,2.306,1.011,1.403,1.156,1.865
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,1,male,1.129,1.672,0.555,1.457,2.011,2.009,0.923,1.257,1.015,1.780
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,2,female,1.279,1.855,0.617,1.654,2.271,2.271,1.015,1.384,1.124,1.775
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,2,male,1.128,1.771,0.601,1.546,2.148,2.146,1.000,1.308,1.134,1.902
